Run	Condition	developmental_stage	organism_part	strain
ERR279673	L3	L3	whole organism	Edinburgh
ERR279674	L3	L3	whole organism	Edinburgh
ERR279675	L3	L3	whole organism	Edinburgh
ERR279676	adult	adult	whole organism	Edinburgh
ERR279677	adult	adult	whole organism	Edinburgh
ERR279678	adult	adult	whole organism	Edinburgh
ERR279679	adult	adult	whole organism	Edinburgh
ERR279680	adult	adult	whole organism	Edinburgh
ERR279681	adult	adult	whole organism	Edinburgh
ERR279682	adult	adult	whole organism	Edinburgh
ERR279683	adult intestinal phase, front end	adult intestinal phase	front end	Edinburgh
ERR279684	adult intestinal phase, whole	adult intestinal phase	whole organism	Edinburgh
ERR279685	adult intestinal phase, front end	adult intestinal phase	front end	Edinburgh
ERR279686	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279687	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279688	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279689	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279690	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279691	adult lumenal phase	adult lumenal phase	back ends	Edinburgh
ERR279692	L2	L2	whole organism	Edinburgh
