Run	Condition	developmental_stage
SRR3659916	10 day larvae	10 day larvae
SRR3659912	16 day larvae	16 day larvae
SRR3659909	17 day larvae	17 day larvae
SRR3659914	21 day larvae	21 day larvae
SRR3659911	28 day larvae	28 day larvae
SRR3659913	35 day larvae	35 day larvae
SRR3659908	42 day larvae	42 day larvae
SRR3659905	adult (mixed gender)	adult (mixed gender)
SRR3659915	adult (mixed gender)	adult (mixed gender)
SRR3659904	female anterior body	female anterior body
SRR3659910	female ovary	female ovary
SRR3659906	male anterior body	male anterior body
SRR3659907	male testis	male testis
SRR1616939	pig intestine (female)	pig intestine (female)
SRR1616935	pig intestine (male)	pig intestine (male)
