Run	Location	End	Quality
SRR1616935	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR161/005/SRR1616935	pe	70
SRR1616939	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR161/009/SRR1616939	pe	68
SRR3659904	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/004/SRR3659904	pe	65
SRR3659905	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/005/SRR3659905	pe	80
SRR3659906	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/006/SRR3659906	pe	71
SRR3659907	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/007/SRR3659907	pe	86
SRR3659908	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/008/SRR3659908	pe	73
SRR3659909	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/009/SRR3659909	pe	60
SRR3659910	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/000/SRR3659910	pe	83
SRR3659911	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/001/SRR3659911	pe	82
SRR3659912	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/002/SRR3659912	pe	71
SRR3659913	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/003/SRR3659913	pe	59
SRR3659914	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/004/SRR3659914	pe	59
SRR3659915	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/005/SRR3659915	pe	68
SRR3659916	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR365/006/SRR3659916	pe	51
